accession,species,tier,verdict,reason_code,reason_source,reason_code_proposed,platform,year,title,url
MTBLS11752,Mus musculus,not_prioritised,exclude,no_pain_phenotype,automatic_screen,,mass spectrometry,2025,Deciphering the Role of N-Acetyltransferase 10 in Thalamic Hemorrhage Through Integrative Multi-Omics and Experimental Validation,https://www.ebi.ac.uk/metabolights/MTBLS11752
MTBLS11941,Mus musculus,not_prioritised,exclude,no_pain_phenotype,automatic_screen,,mass spectrometry,2025,The effect of an NAT10 inhibitor (remodelin) on inflammation-related genes in the treatment of thalamic hemorrhage based on metabolic data,https://www.ebi.ac.uk/metabolights/MTBLS11941
MTBLS12704,Homo sapiens,prioritised,include,usable_pending_file_check,reviewer,,mass spectrometry,2025,Exploring Salivary Metabolites as Biomarkers in Chronic Craniofacial and Orofacial Pain: A Metabolomic Analysis.,https://www.ebi.ac.uk/metabolights/MTBLS12704
MTBLS12716,Rattus norvegicus,not_prioritised,exclude,no_pain_phenotype,automatic_screen,,mass spectrometry,2025,SADI-S and SG Surgeries Induce Distinct Bile Acid Profiles Linked to Improved Glucose Metabolism via Microbiota Interactions_serum,https://www.ebi.ac.uk/metabolights/MTBLS12716
MTBLS12737,Homo sapiens,prioritised,exclude,not_recorded,reviewer,no_pain_versus_control_contrast,mass spectrometry,2025,Prediction of irritable bowel syndrome by integrating urine metabolites and gut microbiota,https://www.ebi.ac.uk/metabolights/MTBLS12737
MTBLS12748,Ovis aries,not_prioritised,exclude,wrong_species,automatic_screen,,mass spectrometry,2025,Saline pasture improve meat quality in Qinghai Tibetan sheep through changes in the rumen microbiota,https://www.ebi.ac.uk/metabolights/MTBLS12748
MTBLS12829,Mus musculus,not_prioritised,exclude,no_pain_phenotype,automatic_screen,,mass spectrometry,2025,Zingerone treats postmenopausal osteoporosis via increased ferroptosis sensitivity by p53-mediated regulation of Sat1 and Gpx4 expression,https://www.ebi.ac.uk/metabolights/MTBLS12829
MTBLS13219,Mus musculus,not_prioritised,exclude,no_pain_phenotype,automatic_screen,,mass spectrometry,2026,The integration of network pharmacology and multiomics reveals the mechanism by which Malus hupehensis leaves inhibit acute liver injury,https://www.ebi.ac.uk/metabolights/MTBLS13219
MTBLS13512,Homo sapiens,prioritised,exclude,duplicate_of_MTBLS13513,reviewer,,mass spectrometry,2025,Multi-omics analysis identifies a microbiota–bile acid–TLR signaling axis driving bladder injury in interstitial cystitis,https://www.ebi.ac.uk/metabolights/MTBLS13512
MTBLS13513,Homo sapiens,prioritised,include,usable_pending_file_check,reviewer,,mass spectrometry,2025,Multi-omics analysis identifies a microbiota–bile acid–TLR signaling axis driving bladder injury in interstitial cystitis,https://www.ebi.ac.uk/metabolights/MTBLS13513
MTBLS13869,Rattus norvegicus,prioritised,include,usable_pending_file_check,reviewer,,mass spectrometry,2026,Serum Metabolomics in the Rat Model of Recurrent Pelvic Pain,https://www.ebi.ac.uk/metabolights/MTBLS13869
MTBLS14059,Mus musculus,prioritised,include,usable_distinct_experiment_same_publication,reviewer+file_check,,mass spectrometry,2026,Semaglutide targets muscle mitochondria to regulate osteoarthritis,https://www.ebi.ac.uk/metabolights/MTBLS14059
MTBLS14200,Homo sapiens,prioritised,exclude,not_recorded,reviewer,no_pain_phenotype,mass spectrometry,2026,Integrated microbiome and metabolome analysis of milk of lactational mastitis women in remission period,https://www.ebi.ac.uk/metabolights/MTBLS14200
MTBLS14295,Mus musculus,prioritised,include,usable_distinct_experiment_same_publication,reviewer+file_check,,mass spectrometry,2026,Semaglutide targets muscle mitochondria to regulate glutamine metabolism and treat osteoarthritis,https://www.ebi.ac.uk/metabolights/MTBLS14295
MTBLS14319,Mus musculus,prioritised,include,usable_pending_file_check,reviewer,,mass spectrometry,2026,In-depth characterization of the CaV2.2-knockout mouse line,https://www.ebi.ac.uk/metabolights/MTBLS14319
MTBLS14816,Mus musculus,prioritised,exclude,not_recorded,reviewer,no_pain_versus_control_contrast,mass spectrometry,2026,Therapeutic Effect of Modified Meridian-Guided Acupoint Pressing on Lumbar Facet Joint Osteoarthritis: An Integrated Microbiomics and Metabolomics Analysis,https://www.ebi.ac.uk/metabolights/MTBLS14816
MTBLS1894,Homo sapiens,prioritised,exclude,not_recorded,reviewer,intervention_pre_post_not_case_control,NMR,2020,1H-NMR-Based Analysis for Exploring Knee Synovial Fluid Metabolite Changes after Local Cryotherapy in Knee Arthritis Patients,https://www.ebi.ac.uk/metabolights/MTBLS1894
MTBLS1991,Homo sapiens,not_prioritised,exclude,no_pain_phenotype,automatic_screen,,mass spectrometry,2024,A molecular index for biological age identified from the metabolome and senescence-associated secretome in humans.,https://www.ebi.ac.uk/metabolights/MTBLS1991
MTBLS2040,Homo sapiens,not_prioritised,exclude,no_pain_phenotype,automatic_screen,,NMR,2023,Symptomatology and Serum Nuclear Magnetic Resonance Metabolomics; Do They Predict Endometriosis in Fertile Women Undergoing Laparoscopic Sterilisation? A Prospective Cross-sectional Study,https://www.ebi.ac.uk/metabolights/MTBLS2040
MTBLS2060,Drosophila melanogaster,not_prioritised,exclude,wrong_species,automatic_screen,,NMR,2021,Prediction of complex phenotypes using the Drosophila melanogaster metabolome,https://www.ebi.ac.uk/metabolights/MTBLS2060
MTBLS2689,Canis lupus familiaris,not_prioritised,exclude,wrong_species,automatic_screen,,mass spectrometry,2021,Multi-Omics Approach to Elucidate Cerebrospinal Fluid Changes in Dogs with Intervertebral Disc Herniation,https://www.ebi.ac.uk/metabolights/MTBLS2689
MTBLS2774,Homo sapiens,prioritised,include,usable_pending_file_check,reviewer,,mass spectrometry,2021,Altered metabolome and microbiome features provide clues in understanding irritable bowel syndrome and depression comorbidity,https://www.ebi.ac.uk/metabolights/MTBLS2774
MTBLS3342,Homo sapiens,not_prioritised,exclude,no_pain_phenotype,automatic_screen,,mass spectrometry,2023,Oxidative phosphorylation is a metabolic vulnerability of endocrine therapy and palbociclib resistant metastatic breast cancers,https://www.ebi.ac.uk/metabolights/MTBLS3342
MTBLS354,Homo sapiens,not_prioritised,exclude,no_pain_phenotype,automatic_screen,,mass spectrometry,2016,Lipid metabolites as potential diagnostic and prognostic biomarkers for acute community acquired pneumonia,https://www.ebi.ac.uk/metabolights/MTBLS354
MTBLS3581,Mus musculus; Standard,not_prioritised,exclude,no_pain_phenotype,automatic_screen,,mass spectrometry,2024,Gut microbiota carcinogen metabolism causes distal tissue tumours,https://www.ebi.ac.uk/metabolights/MTBLS3581
MTBLS543,Equus caballus,not_prioritised,exclude,wrong_species,automatic_screen,,NMR,2018,Synovial Fluid Metabolites Differentiate between Septic and Nonseptic Joint Pathologies,https://www.ebi.ac.uk/metabolights/MTBLS543
MTBLS5667,Rattus norvegicus,prioritised,include,usable_pending_file_check,reviewer,,mass spectrometry,2024,Clinical efficacy of Yiqi Yangxue formula on knee osteoarthritis and unraveling therapeutic mechanism through plasma metabolites in rats.,https://www.ebi.ac.uk/metabolights/MTBLS5667
MTBLS579,Homo sapiens,not_prioritised,exclude,no_pain_phenotype,automatic_screen,,mass spectrometry,2018,Diagnostic metabolite biomarkers of chronic typhoid carriage,https://www.ebi.ac.uk/metabolights/MTBLS579
MTBLS6038,Homo sapiens,not_prioritised,exclude,no_pain_phenotype,automatic_screen,,mass spectrometry,2023,"Serum organic acid metabolites can be used as potential biomarkers to identify prostatitis, benign prostatic hyperplasia, and prostate cancer (Targeted organic acid assay)",https://www.ebi.ac.uk/metabolights/MTBLS6038
MTBLS6039,Homo sapiens,not_prioritised,exclude,no_pain_phenotype,automatic_screen,,mass spectrometry,2023,"Serum organic acid metabolites can be used as potential biomarkers to identify prostatitis, benign prostatic hyperplasia, and prostate cancer (Untargeted assay)",https://www.ebi.ac.uk/metabolights/MTBLS6039
MTBLS6053,Canis lupus familiaris,not_prioritised,exclude,wrong_species,automatic_screen,,NMR,2026,Metabolomic profiling of cerebrospinal fluid from dogs with meningoencephalitis of unknown origin by nuclear magnetic resonance,https://www.ebi.ac.uk/metabolights/MTBLS6053
MTBLS6219,Homo sapiens,prioritised,exclude,not_recorded,reviewer,no_pain_phenotype,NMR,2025,"Diagnostic utility of clinicodemographic, biochemical and metabolite variables to identify viable pregnancies in a symptomatic cohort during early gestation.",https://www.ebi.ac.uk/metabolights/MTBLS6219
MTBLS723,Mus musculus,not_prioritised,exclude,no_pain_phenotype,automatic_screen,,NMR,2018,CXCL12 and MYC control energy metabolism to support adaptive responses after kidney injury,https://www.ebi.ac.uk/metabolights/MTBLS723
