study_id,superseded_by,reason
GSE241361,GSE241361_DRG;GSE241361_Spinal_cord,Combined two-tissue analysis of the same 36 samples that the per-tissue splits partition. Retaining all three would enter those samples into the pooled meta-analysis twice: the combined estimates correlate 0.93 with the mean of the two splits while the splits correlate only 0.15 with each other. The splits are kept because the tissue-stratified analysis (06d) and the pain-model strata (06b STUDY_MODEL) both address them individually.
ST000676_Sciatic_nerve,ST000676_Dorsal_root_ganglia,"Sciatic nerve and dorsal root ganglia are both peripheral nerve tissue from the same animals, and their effect sizes correlate 0.52 across 847 shared features. Entering both would contribute correlated estimates to one pooled family, inflating k and narrowing the interval further than the evidence supports. The GSE241361 splits were kept because they correlate only 0.15; this pair is nothing like that independent. DRG is retained rather than sciatic nerve because it holds the primary sensory neuron somata. ST000676_Plasma is kept as a separate unit: it correlates 0.01 with DRG and 0.07 with sciatic nerve, so it is genuinely independent."
ST003984_Peritoneal_fluid,ST003984_Plasma,"Peritoneal fluid and plasma are two compartments sampled from the same women, correlating 0.52 across 140 shared features, so the two splits are not independent units. Plasma is retained because it is the matrix the rest of the metabolomic corpus uses (serum or plasma in every other study), making it the arm that can actually join a pooled family, and it carries the larger contrast (73 v 35 against 54 v 35)."
ST000676_Plasma,ST000676_Dorsal_root_ganglia,"Same animals as the dorsal root ganglia unit, sampled in a second compartment. Their effect sizes correlate only 0.01, which is why both were kept at first, but uncorrelated effects do not make the samples independent: the pool counts study units, so one accession entered as two and k overstated the evidence. That inflated 29 of 103 features in the k>=3 family, and two of the six significant features (NAME:tg520mnh41108, NAME:tg502mna1020) reached k=3 on two accessions. Metabolomics therefore enters one unit per accession. The same inflation exists for GSE241361_DRG/GSE241361_Spinal_cord in transcriptomics but is immaterial there, where it adds 1 to k values around 50 and moves only 2 of 536 affected significant features below the threshold."
GSE145702,GSE145701,"GEO SuperSeries wholly containing GSE145701: every one of GSE145701's samples appears in it, by GSM accession and by sample title. Entering both would count the same subjects twice. The SubSeries is retained rather than the SuperSeries because this is a transcriptomic arm and the SuperSeries's extra samples are GPL13534 methylation arrays, which are not expression data and cannot contribute an effect size; the SubSeries carries the expression platform alone."
GSE243158,GSE243039,"GEO SuperSeries wholly containing GSE243039: every one of GSE243039's samples appears in it, by GSM accession and by sample title. Entering both would count the same subjects twice. The SubSeries is retained rather than the SuperSeries because this is a transcriptomic arm and the SuperSeries's extra samples are GPL18573 methylation arrays, which are not expression data and cannot contribute an effect size; the SubSeries carries the expression platform alone."
GSE87810,GSE87809,"GEO SuperSeries wholly containing GSE87809: every one of GSE87809's samples appears in it, by GSM accession and by sample title. Entering both would count the same subjects twice. The SubSeries is retained rather than the SuperSeries because this is a transcriptomic arm and the SuperSeries's extra samples are GPL13534 methylation arrays, which are not expression data and cannot contribute an effect size; the SubSeries carries the expression platform alone."
GSE57832,GSE57733,"GEO SuperSeries wholly containing GSE57733: all six of its samples (GSM1387805-GSM1387810) appear in it by GSM accession. The six it adds (GSM1394742-GSM1394747) are GPL13534 methylation arrays on genomic DNA, and GEOquery returns that matrix first, so step 05 analysed methylation beta values and labelled them log2FC -- the effect table carried cg-prefixed 450k probe ids. Same pattern as GSE145702, GSE243158 and GSE87810, missed by the 2026-08-28 GSM-overlap screen; the SubSeries carrying the expression platform is retained."
GSE102937,GSE102721;GSE89224,"GEO SuperSeries of GSE102721 (12 samples) and GSE89224 (40), whose GSMs partition its 52. Step 05's table for it is not the union: it is 9 case / 3 control over 24,058 features, identical to GSE102721's to r = 1.000 over every shared feature, because the expression it could reach covers only the RNA-seq SubSeries. It therefore adds nothing GSE102721 does not and entered the pool as a second copy of it. Both SubSeries are retained, so no sample is lost: GSE102721 carries the RNA-seq arm and GSE89224 the 40-sample time course, and they correlate 0.574, closer to independent units than to duplicates."
GSE51296,GSE51294;GSE51295,"GEO SuperSeries of GSE51294 and GSE51295, 8 + 8 = its 16 samples, all three pooled. Its combined estimates correlate 0.994 with the mean of the two splits while the splits correlate only 0.198 with each other -- the GSE241361 pattern, where the combined analysis is a re-description of the splits and the splits are close to independent. The splits are kept for the same reason as there, and no sample is lost."
GSE180627,GSE180627_PAG;GSE180627_PFC;GSE180627_S1;GSE180627_SC,"Deposits one count file per CNS region (PAG, PFC, S1, SC) over the same 24 animals, so the parent entered the pool as whichever region find_suppl_count_file() sorted first -- 12 v 12 of a curated 48 v 48. Split per region on 2026-08-30, as GSE241361 was split per tissue."
GSE197233,GSE197233_ACC;GSE197233_mPFC,"Deposits one count file per sex per brain region over the same 12 animals; the parent entered as Female-ACC alone, 3 v 3 of a curated 12 v 12. Split per region on 2026-08-30, the two sex files of each region merged since they are different animals."
